Date,Clicks,Impressions,CTR,Position
2026-07-30,0,0,,
2026-07-31,0,0,,
2026-08-01,0,1,0%,1
2026-08-02,0,2,0%,36.5
2026-08-03,0,4,0%,58
2026-08-04,0,1,0%,30
